TestID,RepeatID,Volume_Fraction,Strain,Stress,Parallelism,Density,Void_Fraction,Aspect_Ratio
0,1,0,0.054408482,80.55644747,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.054910714,81.31476957,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.055636161,82.07927136,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.056305804,82.85733355,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.056752232,83.5500301,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.057142857,84.3432709,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.057756696,85.02877283,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.058258929,85.62986201,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.058816964,86.36459295,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.059430804,87.08865601,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.060044643,87.68224609,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.060546875,88.32546551,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.061160714,88.86071488,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.06171875,89.49595594,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.062165179,90.1186628,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.062667411,90.72565539,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.06328125,91.24358919,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.063616071,91.80361939,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.064508929,92.28307661,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.06484375,92.8128398,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.065513393,93.29772117,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.066071429,93.78173987,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.06640625,94.18299225,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.067020089,94.6776168,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.067578125,95.0894694,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.068303571,95.47192329,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.068861607,95.87030005,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.069363839,96.17445886,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.069921875,96.55975451,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.0703125,96.90119454,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.070870536,97.2162355,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.071428571,97.52542377,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.072042411,97.75452396,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.072600446,98.13139581,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.073158482,98.40449822,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.073828125,98.6303845,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.074162946,98.92012025,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.074609375,99.11601015,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.075446429,99.32127112,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.076004464,99.52618251,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.076339286,99.74741146,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.077008929,99.88510163,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.077622768,100.0615954,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.078069196,100.1648574,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.078627232,100.2703183,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.079296875,100.4977608,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.079743304,100.6627861,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.080357143,100.7164751,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.080859375,100.7687319,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.08125,100.873629,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.081975446,100.9056665,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.082366071,101.0225171,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.082979911,101.0565168,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.083649554,101.062922,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.084040179,101.1409577,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.084542411,101.1672102,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.085100446,101.1398751,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.085714286,101.1296921,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.086216518,101.1716533,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.086997768,101.1342705,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.087220982,101.159869,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.087834821,101.0821941,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.088448661,101.0309635,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.0890625,101.0497168,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.089341518,101.0224494,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.090122768,100.9643625,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.090680804,100.8755461,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.091127232,100.8239997,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.091796875,100.7320709,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.092243304,100.6342556,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.092912946,100.5635837,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.093526786,100.453082,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.093973214,100.3513988,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.09453125,100.1797428,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.095033482,100.1829341,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.095647321,100.0254418,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.096261161,99.87706124,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.096540179,99.6621022,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.097321429,99.55730657,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.097767857,99.42958513,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.098325893,99.26559739,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.098828125,99.20474758,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.099497768,98.9692647,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.100111607,98.87645635,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.100558036,98.69132454,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.100948661,98.52442737,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.101618304,98.35299691,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.102176339,98.23938279,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.102734375,98.12363734,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.103348214,97.85154985,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.10390625,97.71982514,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.104296875,97.55653656,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.104910714,97.31786234,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.10546875,97.20035771,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.106026786,97.03438524,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.106305804,96.87101772,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.106975446,96.72669678,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.107477679,96.50017898,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.108203125,96.40395374,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.108649554,96.13925259,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.109151786,96.0412005,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.109765625,95.90618295,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.110546875,95.75704678,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.110993304,95.47695275,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.111439732,95.34478823,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.111997768,95.12084155,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.1125,94.98584656,0.692594895,1.158005913,0.15%,0.601746138
0,1,0,0.113113839,94.83010218,0.692594895,1.158005913,0.15%,0.601746138
